id;item_group_id;title;description;link;image link; price ;availability;condition
YE-SS25-1320-TNS;Maillots Capri;Haut de maillot Joana Tinos;"Mini triangle
- Double liens, ajustables
- Porté cou
- Largeur du triangle ajustable
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.

Lison porte la taille 1.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-joana-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye02-joana-mona-capri-ss250-23-1-1546x2048.jpg; 85,00  EUR ;in stock;new
YE-SS25-13008-TNS;Maillots Capri;Haut de maillot Léa Tinos;"Haut de maillot triangle

- Porté tour de cou
- Anneau ivoire
- Liens spaghettis
- Se noue dans le dos pour un fit parfait
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 2.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-lea-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye04-lea-jenna-capri-ss250-13-1-1441x2048.jpg; 90,00  EUR ;in stock;new
YE-SS25-13007-TNS;Maillots Capri;Haut de maillot Elsa Tinos;"Mini bandeau
- Baleines latérales pour un meilleur maintien
- Anneau ivoire
- Se noue dans le dos pour un fit parfait
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-elsa-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye03-elsa-ada-capri-ss250-19-1-1441x2048.jpg; 90,00  EUR ;in stock;new
YE-SS25-2310-TNS;Maillots Capri;Haut de maillot Mica Tinos;"Mini triangle

- Porté autour cou
- Anneaux dorés
- Se noue dans le dos pour un fit parfait
- Lien spaghetti
- Largeur du triangle ajustable
- Tissu Italien recyclé
- Tissu en matière éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-mica-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye01-mica-laura-capri-ss250-16-1-1592x2048.jpg; 80,00  EUR ;in stock;new
YE-SS25-1010-TNS;Maillots Capri;Haut de maillot Maya Tinos;"Haut de maillot croisé, effet cache-coeur pour un maintien et confort optimal.

- Porté épaules
- Croisé à l’avant pour un meilleur maintien
- Baleines latérales discrètes pour plus de maintien
- Convient aux poitrines jusqu’au bonnet E
- Se noue dans le dos pour un fit parfait
- Bretelles ajustables
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, 3 et 4.
Notre modèle porte la taille 2.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-maya-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye05-maya-jenna-capri-ss250-2-1-1441x2048.jpg; 96,00  EUR ;in stock;new
YE-SS25-13009-TNS;Maillots Capri;Haut de maillot Golda Tinos;"Porté tour de cou
- Anneau ivoire
- Maintien optimal grâce à sa bande élastique et ses bretelles larges
- Convient aux poitrines jusqu’au bonnet E
- Se noue dans le dos pour un fit parfait
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, 3 et 4.
Notre modèle porte la taille 1.
";https://yasmine-eslami.com/fr/produit/haut-de-maillot-golda-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye06-golda-ada-capri-ss250-20-1-1441x2048.jpg; 110,00  EUR ;in stock;new
YE-SS25-2121-TNS;Maillots Capri;Bas de maillot Rebecca Tinos;"Bas de maillot échancré
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/bas-de-maillot-rebecca-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye04-lea-jenna-capri-ss250-1-1-1446x1800.jpg; 60,00  EUR ;in stock;new
YE-SS25-1125-TNS;Maillots Capri;Bas de maillot Laura Tinos;"Notre bas de maillot iconique.

- Ajustable pour un effet plus ou moins échancré grâce aux réglettes sur les hanches
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, 3.
Notre modèle porte la taille 1.
";https://yasmine-eslami.com/fr/produit/bas-de-maillot-laura-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye01-mica-laura-capri-ss250-2-1-1446x1800.jpg; 60,00  EUR ;in stock;new
YE-SS25-0520-TNS;Maillots Capri;Bas de maillot Mona Tinos;"Notre bas de maillot iconique, volontairement designé pour être mini.

- Ajustable sur les côtés grâce aux doubles liens
- Liens spaghettis
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Peut nécessiter de prendre une taille au dessus de la votre
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.
";https://yasmine-eslami.com/fr/produit/bas-de-maillot-mona-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye02-joana-mona-capri-ss250-6-1-1446x1800.jpg; 70,00  EUR ;in stock;new
YE-SS25-2120-TNS;Maillots Capri;Bas de maillot Gina Tinos;"Coupe inspirée des années 70
- Anneaux ivoires
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/bas-de-maillot-gina-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye06-golda-ada-capri-ss250-3-1-1446x1800.jpg; 65,00  EUR ;in stock;new
YE-SS25-0620-TNS;Maillots Capri;Bas de maillot Ada Tinos;"Taille basse
- Coupe bandeau inspirée des années 70
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/bas-de-maillot-ada-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye03-elsa-ada-capri-ss250-1-1-1446x1800.jpg; 60,00  EUR ;in stock;new
YE-SS25-6040-TNS;Maillots Capri;Maillot une-pièce Lana Tinos;"Dos échancré
- Se noue dans le dos grâce aux liens
- Anneaux ivoires
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.
";https://yasmine-eslami.com/fr/produit/maillot-une-piece-lana-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye08-lana-capri-ss250-19-1539x2048.jpg; 135,00  EUR ;in stock;new
YE-SS25-6140-TNS;Maillots Capri;Maillot une-pièce Tina Tinos;"Bandeau
- Anneau ivoire
- Peut aussi se porter noué autour du cou pour plus de maintien
- Couture sous poitrine pour un meilleur maintien
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/maillot-une-piece-tina-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye11-tina-capri-ss250-15-1-1510x2048.jpg; 140,00  EUR ;in stock;new
YE-SS25-90920-TNS;Maillots Capri;Gaïa dress;"Tissu Italien recyclé
- Tissu éponge
- À porter au dessus de votre maillot ou seule sous une veste pour un look sexy
- Fabriquée au Portugal.

Disponible en taille 1, et 2.
Notre modèle porte la taille 1.
";https://yasmine-eslami.com/fr/produit/gaia-robe-capri/;https://yasmine-eslami.com/app/uploads/2025/02/ye10-gaia-capri-ss250-15-scaled.jpg; 95,00  EUR ;in stock;new
YE-SS25-1320-TNS;Maillots Tinos;Haut de maillot Joana Tinos;"Mini triangle
- Double liens, ajustables
- Porté cou
- Largeur du triangle ajustable
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.

Lison porte la taille 1.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-joana-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye14-joana-mona-tinos-ss250-1592x2048.jpg; 85,00  EUR ;in stock;new
YE-SS25-13008-TNS;Maillots Tinos;Haut de maillot Léa Tinos;"Haut de maillot triangle

- Porté tour de cou
- Anneau ivoire
- Liens spaghettis
- Se noue dans le dos pour un fit parfait
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 2.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-lea-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye16-esla-olga-tinos-ss250-16-1-1592x2048.jpg; 90,00  EUR ;in stock;new
YE-SS25-13007-TNS;Maillots Tinos;Haut de maillot Elsa Tinos;"Mini bandeau
- Baleines latérales pour un meilleur maintien
- Anneau ivoire
- Se noue dans le dos pour un fit parfait
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-elsa-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye15-lea-jenna-tinos-ss250-1592x2048.jpg; 90,00  EUR ;in stock;new
YE-SS25-2310-TNS;Maillots Tinos;Haut de maillot Mica Tinos;"Mini triangle

- Porté autour cou
- Anneaux dorés
- Se noue dans le dos pour un fit parfait
- Lien spaghetti
- Largeur du triangle ajustable
- Tissu Italien recyclé
- Tissu en matière éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-mica-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye12-mica-laura-tinos-ss250-27-1-1592x2048.jpg; 80,00  EUR ;in stock;new
YE-SS25-1010-TNS;Maillots Tinos;Haut de maillot Maya Tinos;"Haut de maillot croisé, effet cache-coeur pour un maintien et confort optimal.

- Porté épaules
- Croisé à l’avant pour un meilleur maintien
- Baleines latérales discrètes pour plus de maintien
- Convient aux poitrines jusqu’au bonnet E
- Se noue dans le dos pour un fit parfait
- Bretelles ajustables
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, 3 et 4.
Notre modèle porte la taille 2.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-maya-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye18-maya-laura-tinos-ss250-5-1-1591x2048.jpg; 96,00  EUR ;in stock;new
YE-SS25-13009-TNS;Maillots Tinos;Haut de maillot Golda Tinos;"Porté tour de cou
- Anneau ivoire
- Maintien optimal grâce à sa bande élastique et ses bretelles larges
- Convient aux poitrines jusqu’au bonnet E
- Se noue dans le dos pour un fit parfait
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, 3 et 4.
Notre modèle porte la taille 1.
";https://yasmine-eslami.com/fr/produit/haut-de-maillot-golda-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye23-golda-ada-tinos0-19-1541x2048.jpg; 110,00  EUR ;in stock;new
YE-SS25-2121-TNS;Maillots Tinos;Bas de maillot Rebecca Tinos;"Bas de maillot échancré
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/bas-de-maillot-rebecca-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye16-esla-olga-tinos-ss250-1-1446x1800.jpg; 60,00  EUR ;in stock;new
YE-SS25-1125-TNS;Maillots Tinos;Bas de maillot Laura Tinos;"Notre bas de maillot iconique.

- Ajustable pour un effet plus ou moins échancré grâce aux réglettes sur les hanches
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, 3.
Notre modèle porte la taille 1.
";https://yasmine-eslami.com/fr/produit/bas-de-maillot-laura-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye12-mica-laura-tinos-ss250-15-1-1446x1800.jpg; 60,00  EUR ;in stock;new
YE-SS25-0520-TNS;Maillots Tinos;Bas de maillot Mona Tinos;"Notre bas de maillot iconique, volontairement designé pour être mini.

- Ajustable sur les côtés grâce aux doubles liens
- Liens spaghettis
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Peut nécessiter de prendre une taille au dessus de la votre
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.
";https://yasmine-eslami.com/fr/produit/bas-de-maillot-mona-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye13-joana-ada-tinos-ss250-1-1446x1800.jpg; 70,00  EUR ;in stock;new
YE-SS25-2120-TNS;Maillots Tinos;Bas de maillot Gina Tinos;"Coupe inspirée des années 70
- Anneaux ivoires
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/bas-de-maillot-gina-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye15-lea-jenna-tinos-ss250-1-1-1-1446x1800.jpg; 65,00  EUR ;in stock;new
YE-SS25-0620-TNS;Maillots Tinos;Bas de maillot Ada Tinos;"Taille basse
- Coupe bandeau inspirée des années 70
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/bas-de-maillot-ada-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye23-golda-ada-tinos0-3-1-1446x1800.jpg; 60,00  EUR ;in stock;new
YE-SS25-6040-TNS;Maillots Tinos;Maillot une-pièce Lana Tinos;"Dos échancré
- Se noue dans le dos grâce aux liens
- Anneaux ivoires
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.
";https://yasmine-eslami.com/fr/produit/maillot-une-piece-lana-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye20-lana-tinos-ss250-16-1-1536x2048.jpg; 135,00  EUR ;in stock;new
YE-SS25-6140-TNS;Maillots Tinos;Maillot une-pièce Tina Tinos;"Bandeau
- Anneau ivoire
- Peut aussi se porter noué autour du cou pour plus de maintien
- Couture sous poitrine pour un meilleur maintien
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/maillot-une-piece-tina-tinos/;https://yasmine-eslami.com/app/uploads/2025/02/ye21-tina-tinos-ss250-11-1482x2048.jpg; 140,00  EUR ;in stock;new
YE-SS25-2310-STN;Maillots Starry Night;Haut de maillot Mica Starry Night;"Notre haut de maillot iconique.

- Mini triangle
- Porté tour de cou
- Liens spaghettis
- Anneaux dorés
- Largeur du triangle ajustable
- Tissu Italien recyclé
- Se noue dans le dos pour un fit parfait
- Tissu à l’aspect brillant, proche du latex
- Fabriqué au Portugal

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-mica-starry-night/;https://yasmine-eslami.com/app/uploads/2025/02/ye29-mica-laura-starry-night-ss250-14-1-1592x2048.jpg; 90,00  EUR ;in stock;new
YE-SS25-1125-STN;Maillots Starry Night;Bas de maillot Laura Starry Night;"Notre bas de maillot iconique.

- Ajustable pour un effet plus ou moins échancré grâce aux réglettes sur les hanches
- Tissu Italien recyclé
- Tissu à l’aspect brillant, proche du latex
- Fabriqué au Portugal.

Disponible en taille 1, 2, 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/bas-de-maillot-laura-starry-night/;https://yasmine-eslami.com/app/uploads/2025/02/ye29-mica-laura-starry-night-ss250-1-1446x1800.jpg; 65,00  EUR ;in stock;new
YE-SS25-6240-STN;Maillots Starry Night;Maillot une-pièce Georgia Starry Night;"Zip fonctionnel
- Peut se porter ouvert ou fermé
- Dos nageur
- Tissu Italien recyclé
- Tissu à l’aspect brillant, effet latex
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/maillot-une-piece-georgia-starry-night/;https://yasmine-eslami.com/app/uploads/2025/02/103-ye-georgia-swimsuit-black-0952-1-1516x2048.jpg; 185,00  EUR ;in stock;new
YE-SS25-2310-MOP;Maillots Mother of Pearl;Haut de maillot Mica Mother of Pearl;"Notre haut de maillot iconique.

- Mini triangle
- Porté tour de cou
- Liens spaghettis
- Anneaux dorés
- Largeur du triangle ajustable
- Tissu Italien recyclé
- Se noue dans le dos pour un fit parfait
- Tissu à l’aspect brillant, proche du latex
- Fabriqué au Portugal

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.
";https://yasmine-eslami.com/fr/produit/haut-de-maillot-mica-mother-of-pearl/;https://yasmine-eslami.com/app/uploads/2025/02/ye26-mica-laura-mother-of-pearl-ss250-11-1-1481x1800.jpg; 85,00  EUR ;in stock;new
YE-SS25-1125-MOP;Maillots Mother of Pearl;Bas de maillot Laura Mother of Pearl;"Notre bas de maillot iconique.

- Ajustable pour un effet plus ou moins échancré grâce aux réglettes sur les hanches
- Tissu Italien recyclé
- Tissu à l’aspect satiné
- Fabriqué au Portugal.

Disponible en taille 1, 2, 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/bas-de-maillot-laura-mother-of-pearl/;https://yasmine-eslami.com/app/uploads/2025/02/ye26-mica-laura-mother-of-pearl-ss250-2-1-1424x1800.jpg; 60,00  EUR ;in stock;new
YE-SS25-5040-MOP;Maillots Mother of Pearl;Maillot une-pièce Anna Mother of Pearl;"Coupe bandeau
- Peut aussi se porter noué autour du cou pour plus de maintien
- Couture sous poitrine pour un meilleur maintien
- Tissu Italien recyclé
- Tissu à l’aspect satiné
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/maillot-une-piece-anna-mother-of-pearl/;https://yasmine-eslami.com/app/uploads/2025/02/ye27-anna-mother-of-pearl-ss250-25-1-1474x2048.jpg; 145,00  EUR ;in stock;new
YE-SS24-2310-CHOCO;Maillots Choco;Haut de maillot Mica Choco;"Mini triangle

- Porté autour cou
- Anneaux dorés
- Se noue dans le dos pour un fit parfait
- Lien spaghetti
- Largeur du triangle ajustable
- Tissu Italien recyclé
- Tissu en matière éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.";https://yasmine-eslami.com/fr/produit/haut-de-maillot-mica-choco/;https://yasmine-eslami.com/app/uploads/2024/01/ye10-mica-mona-chocolate-ss24-iris68878-1-1603x2048.jpg; 75,00  EUR ;in stock;new
YE-SS24-1010-CHOCO;Maillots Choco;Haut de maillot Maya Choco;"""Haut de maillot croisé, effet cache-coeur pour un maintien et confort optimal.

- Porté épaules
- Croisé à l’avant pour un meilleur maintien
- Baleines latérales discrètes pour plus de maintien
- Convient aux poitrines jusqu’au bonnet E
- Se noue dans le dos pour un fit parfait
- Bretelles ajustables
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, 3 et 4.
Notre modèle porte la taille 2.""";https://yasmine-eslami.com/fr/produit/haut-de-maillot-maya-choco/;https://yasmine-eslami.com/app/uploads/2024/01/ye11-maya-ada-cocolate-ss24-camille68888-1580x2048.jpg; 90,00  EUR ;in stock;new
YE-SS24-0520-CHOCO;Maillots Choco;Bas de maillot Mona Choco;"""Notre bas de maillot iconique, volontairement designé pour être mini.

- Ajustable sur les côtés grâce aux doubles liens
- Liens spaghettis
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Peut nécessiter de prendre une taille au dessus de la votre
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.
""";https://yasmine-eslami.com/fr/produit/bas-de-maillot-mona-choco/;https://yasmine-eslami.com/app/uploads/2024/01/ye04-mona-chocolate-ss24-iris69628-1536x1051.jpg; 65,00  EUR ;in stock;new
YE-SS24-0620-CHOCO;Maillots Choco;Bas de maillot Ada Choco;"Taille basse
- Coupe bandeau inspirée des années 70
- Tissu Italien recyclé
- Tissu éponge
- Sèche rapidement
- Fabriqué au Portugal.

Disponible en taille 1, 2, et 3.
Notre modèle porte la taille 1.""";https://yasmine-eslami.com/fr/produit/bas-de-maillot-ada-choco/;https://yasmine-eslami.com/app/uploads/2024/01/ye10-ada-chocolate-ss24-camille69572-1536x1051.jpg; 60,00  EUR ;in stock;new
